Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
33,16865335,"Hire me! 🤗 [Viktor Cikojevic]","2026-09-16 13:41:48",2919.2,2,viktorcikojevic
34,16632021,istinetz,"2026-09-17 08:13:29",2917.7,2,istinetz
35,16658349,lingxiaojun,"2026-09-14 06:10:06",2917.2,2,lingxiaojun
36,16640048,"extra eclaire","2026-09-18 02:55:40",2912.8,2,"aeniminu,extraeclaire"
37,16706321,lumen,"2026-09-15 06:00:37",2911.6,2,lumenyuto
38,16623559,DECEM,"2026-09-18 04:36:19",2910.5,2,zy1343930734
39,16690867,HowardLeeTW,"2026-09-13 08:07:14",2910.5,2,howardleetw
40,16857676,"Justin Yang","2026-09-18 06:02:06",2908.7,2,zake7749
41,16727266,Agricola,"2026-09-17 14:16:46",2906.0,2,ebisuya
42,16630825,"Black Mamba Farm","2026-09-18 03:40:05",2905.9,2,"asherjyd,frankyhz,qizhiran,yukundu231100"
43,16756591,"Hamed Vakili","2026-09-17 22:43:26",2904.0,2,"hamedvakilit0,maryam7713"
44,16670032,Kenjo1209,"2026-09-17 20:18:46",2899.8,2,kenjo1209
45,16668783,Zyy7390,"2026-09-18 04:29:25",2898.0,2,"tigerrrrrr,zyy7390"
46,16793600,mogura2.0,"2026-09-17 12:50:52",2897.5,2,mogura20
47,16675240,Leifson1337,"2026-09-18 04:55:48",2896.8,2,leifson1337
48,16723379,local,"2026-09-18 05:49:30",2896.4,2,matteo123383iend
49,16883168,jojo,"2026-09-18 02:16:40",2895.2,2,jojojablon
50,16640467,Catalyst,"2026-09-18 09:07:27",2894.0,2,vibekaggler
51,16697767,"Teddy Tennant","2026-09-17 23:00:14",2886.7,2,thtennant
52,16633341,Hak,"2026-09-17 23:39:34",2886.6,2,hakdevelopment
53,16622349,"Mengfei Li","2026-09-18 06:58:56",2885.5,2,meli19
54,16803103,hugghngkai,"2026-09-17 17:34:22",2885.3,2,hugghngkai
55,16725899,Zhenghongshuang,"2026-09-16 04:55:58",2884.4,2,zhenghongshuang
56,16684093,"fog flower","2026-09-17 00:09:47",2882.3,2,fogflower
57,16884121,Radiant,"2026-09-18 02:10:57",2880.5,2,"dnpkkk,xxxxxx6x"
58,16891703,"Rasmus Hulthe","2026-09-18 04:02:30",2879.7,2,zazmuz
59,16891396,易思言ysy,"2026-09-17 15:02:45",2877.0,2,ysykevin
60,16632224,Roxy,"2026-09-17 11:01:25",2874.7,2,yamakawanin
61,16744979,"Ahmed Alhassan","2026-09-13 21:51:58",2873.5,2,ahmed55
62,16622198,"THUNDER THUNDER","2026-09-12 18:58:41",2873.2,2,thunderthunder
63,16633100,"Emile Andrieu","2026-09-17 17:36:41",2873.0,2,emileandrieu
64,16851133,"Bryan Pauze","2026-09-17 23:16:02",2872.1,2,bryanpauze
65,16889224,"Ishan Karnick","2026-09-17 21:02:07",2871.7,2,ishankarnick
66,16699082,Sakthei,"2026-09-18 10:20:54",2870.5,2,sakthei
67,16740419,IamDiganta.7,"2026-09-17 23:54:22",2870.0,2,iamdiganta7
68,16773244,"Yudai Ueno","2026-09-18 07:29:02",2866.8,2,yudaiueno
69,16884858,HojunLee,"2026-09-17 20:14:31",2864.2,2,hojuna
70,16867799,"Chris Deotte","2026-09-18 10:01:20",2863.6,2,cdeotte
71,16671515,ziheng,"2026-09-18 05:37:46",2860.6,2,zihengedie
72,16653303,open5,"2026-09-18 03:32:19",2859.3,2,"chen2yoimiya,huaidezhang,hyt1nn,wahuwahuwahu,zrurfa"
73,16676904,researchstudio.site,"2026-09-16 16:00:08",2859.0,2,fistyee
74,16911021,spark328,"2026-09-18 05:19:59",2858.0,2,spark328
75,16810595,dauriel,"2026-09-18 08:21:42",2857.6,2,dauriel
76,16727404,Yichi,"2026-09-18 07:40:25",2857.2,2,yichi02
77,16735539,"Joe Muller","2026-09-18 10:45:47",2857.2,2,joemuller
78,16910633,Shawn404,"2026-09-17 23:17:15",2852.3,2,shawn404
79,16623463,porply,"2026-09-18 03:52:27",2849.8,2,porply
80,16656496,"Vaibhav Gupta","2026-09-18 02:29:31",2849.5,2,vaihero
81,16732521,redblackbst,"2026-09-18 10:34:36",2848.3,2,redblackbst
82,16644229,"Amy Yuan","2026-09-18 00:03:36",2848.2,2,cozytato
83,16760241,"Collin Christensen","2026-09-18 06:58:49",2847.2,2,cchristens
84,16732496,kanno,"2026-09-18 01:17:04",2847.2,2,kannomasaki
85,16652175,"Lucas Boesen","2026-09-17 21:50:48",2845.0,2,lucasboesen
86,16762319,"Shiji Zheng","2026-09-18 06:19:52",2845.0,2,zhengshiji
87,16665331,winstonton,"2026-09-18 09:31:02",2844.7,2,winstonton
88,16888950,"Qize He","2026-09-18 03:03:54",2843.9,2,watcher996
89,16915651,"agi here, asi soon","2026-09-17 22:45:28",2843.5,2,c0ldzy
90,16891058,Navier-stokes,"2026-09-18 10:48:05",2842.2,2,"nguyenkhanhvu,nhtlongcs"
91,16661646,"Sergey Shcherbakov","2026-09-17 22:56:22",2842.0,2,sergey140146659
92,16912988,"Roy Zhu","2026-09-18 09:19:05",2842.0,2,roy0zhu0
93,16709435,"Artyom Lyan","2026-09-18 07:58:02",2841.5,2,arli2016
94,16762248,KongKongDe,"2026-09-18 02:49:54",2839.5,2,kongkongde
95,16756510,tongmian1314,"2026-09-18 08:57:13",2836.8,2,tongmian1314
96,16637987,Xander,"2026-09-18 00:13:52",2836.1,2,"badboiriri,canqiang,xiuyang88"
97,16764394,haseryooooo,"2026-09-18 06:47:32",2835.9,2,haseryooooo
98,16668370,"Matthew Labrador","2026-09-17 14:07:15",2835.3,2,m4tyuuu
99,16909118,loxigicck,"2026-09-18 07:36:17",2835.3,2,loxigicck
100,16778946,yuki0731,"2026-09-18 01:51:44",2835.0,2,yuki0731
101,16688896,"JianYuan Deng","2026-09-17 19:18:52",2834.8,2,jianyuandeng
102,16862183,Smackaveli,"2026-09-18 03:06:52",2832.9,2,spoutop
103,16795062,"Satoshi Nguyen","2026-09-18 02:54:35",2832.4,2,satoshinguyenai
104,16734551,"junseok lee","2026-09-18 00:27:09",2831.8,2,jaslee2
105,16736874,mhiro2,"2026-09-18 03:46:40",2831.7,2,mhiro2
106,16860784,xxxx0314,"2026-09-18 00:36:12",2830.9,2,"kirklandsan,xxxx0314,yunfeiyang223"
107,16730761,ElephtAI,"2026-09-18 02:14:15",2830.5,2,yuchengj
108,16762735,"Zenith Ye","2026-09-18 07:48:58",2828.3,2,zenithye
109,16806346,"Mike chen666","2026-09-18 00:45:40",2826.9,2,"mikechen666,tiffanyjade"
110,16689844,IchikaHoshino,"2026-09-18 05:47:45",2826.4,2,htunkhi
111,16863383,HanFish,"2026-09-18 08:22:37",2825.9,2,hananfish
112,16629033,"Igor V","2026-09-17 21:44:33",2825.5,2,rostigor
113,16687901,Khalid,"2026-09-18 08:21:12",2825.3,2,khalid000000
114,16747273,红烧肉,"2026-09-18 09:24:59",2824.6,2,ra1nac1d
115,16751828,hatry,"2026-09-18 05:21:58",2824.1,2,toseihatori
116,16796682,LK30,"2026-09-16 22:10:34",2823.4,2,louisklasing
117,16667604,L7n,"2026-09-17 08:29:55",2821.8,2,znwe342
118,16914744,哈基米南北路多,"2026-09-18 09:30:53",2821.4,2,"freakrk,liushunyao,perrinslutman,sayu1u"
119,16810171,kta_jpn,"2026-09-18 09:59:43",2821.0,2,ktajpn
120,16831965,"Ray Roberts","2026-09-17 01:28:26",2820.4,2,rayroberts
121,16913591,fly,"2026-09-18 07:06:04",2819.6,2,"linjingmax,rong414,w1ll1am10,yuhanleo"
122,16739925,nofreewill42,"2026-09-18 08:51:20",2819.6,2,nofreewill
123,16781445,"𝕯𝖊𝖔𝖉𝖎𝖒𝖘 & 𝕮𝖔","2026-09-16 12:45:18",2819.4,2,odimdavidchukwuemeka
124,16661743,"Sergey Kutepov","2026-09-18 00:10:02",2819.2,2,natsyst
125,16762208,CrazyML,"2026-09-18 06:06:54",2818.4,2,"janhvikhattri,sorcererbi,vedanshipathak"
126,16732051,Jeryos,"2026-09-18 08:56:48",2817.2,2,joulskaf
127,16867213,한밭대학교컴퓨터공학과정우민,"2026-09-17 14:20:51",2816.9,2,woominyo
128,16839530,"que la cuenten como quieran","2026-09-17 09:30:29",2815.8,2,germanjurado1
129,16676885,"Riva Kajangu","2026-09-17 17:33:37",2811.6,2,rivakajangu
130,16762302,OxFFFs,"2026-09-18 08:40:35",2811.6,2,oxfffs
131,16671163,"Suyash Verma","2026-09-17 23:30:24",2811.5,2,suyashdiamond1
132,16687159,Max64738CB,"2026-09-17 17:50:42",2811.3,2,max64738cb
133,16811948,"xiao xiongwei","2026-09-18 09:15:53",2811.1,2,"huyang111,xiaoxiongwei"
134,16656452,Ng,"2026-09-18 04:09:25",2810.1,2,nguyenchicuong
135,16623459,"Peng Wang","2026-09-18 02:19:20",2808.2,2,pengwang91
136,16736427,KouFu,"2026-09-18 02:48:07",2808.0,2,kouheif
137,16653044,"Claudex - An","2026-09-18 09:35:31",2807.0,2,"binhdth,buphmquc,hainguyenthien,pntan17"
138,16861362,我小栗帽要娶藤正进行曲！！！💍,"2026-09-18 01:18:24",2805.8,2,"praveensahukari,rubiakaslana"
139,16825002,RAVEN,"2026-09-18 02:34:47",2804.3,2,silverlxt
140,16756891,T.Uehira,"2026-09-18 03:50:57",2801.6,2,tuehira
141,16904732,Weifenhuan,"2026-09-18 05:22:51",2801.0,2,schwa6
142,16677337,"xi luo","2026-09-18 05:34:49",2800.5,2,xiluo00
143,16907326,"julien gaza","2026-09-18 07:47:49",2797.2,2,juliengaza
144,16672709,"RS Turley","2026-09-18 02:53:51",2797.2,2,rturley
145,16795448,ultimatum_game,"2026-09-16 12:21:31",2796.1,2,"ultimatumgame,walrushero"
146,16624484,"Tomoki Hirose","2026-09-18 04:36:54",2796.1,2,tomokihirose
147,16816196,"Bianco Chiu","2026-09-18 02:08:39",2795.5,2,biancochiu
148,16674949,"Lev Neganov","2026-09-18 08:43:36",2795.0,2,levoel
149,16759037,Yuyannnn,"2026-09-18 06:10:04",2794.4,2,yuyannnn
150,16651332,"Le Viet","2026-09-17 09:29:34",2794.2,2,sleepyssr
151,16763505,"Sai Reddy Pothireddy","2026-09-18 04:30:08",2794.1,2,saireddypothireddy
152,16741639,kirito83,"2026-09-18 03:54:10",2794.1,2,lishsh83
153,16659870,"Tien N.","2026-09-18 04:59:20",2792.0,2,tientrum
154,16676336,lemon13418,"2026-09-17 23:51:46",2790.5,2,lemon13418
155,16892682,"Yasuhiro Manai","2026-09-18 03:05:11",2789.7,2,yasu01
156,16743528,shfyyds12138,"2026-09-18 09:03:28",2788.7,2,junwenzhu1314
157,16666442,"SHALWIN SANJU","2026-09-18 07:23:01",2786.0,2,shalwinsanju
158,16866579,"Fighting Gold","2026-09-18 02:12:12",2785.7,2,sawada
159,16727998,hidsaito,"2026-09-18 05:58:37",2784.8,2,hidsaito
160,16784608,shawenher,"2026-09-17 15:18:06",2784.0,2,shawenher
161,16755911,"Paarth Patel","2026-09-18 06:38:20",2783.7,2,martis10
162,16899084,"Asan Ashirov","2026-09-18 01:29:20",2783.4,2,asanashirov
163,16892313,zszdl0530,"2026-09-18 03:58:11",2782.2,2,zszdl0530
164,16692956,VanKoha,"2026-09-17 22:14:34",2781.3,2,kohasama
165,16637546,Forrest,"2026-09-18 02:21:46",2781.2,2,yinxiaogang
166,16666805,Kaggs,"2026-09-18 07:58:25",2780.4,2,ayush21042004
167,16769836,weense,"2026-09-18 02:29:10",2780.0,2,weense
168,16639155,"Arturo Gutiérrez Aguilar","2026-09-18 02:39:11",2778.5,2,jarturo
169,16850509,LS,"2026-09-18 10:43:31",2778.3,2,shannanl
170,16700634,"Alperen Söylen","2026-09-18 11:02:17",2777.4,2,alperensylen
171,16732578,nao.kwmr,"2026-09-18 08:16:13",2776.6,2,naokwmr
172,16665829,Shadowfishes,"2026-09-17 22:56:57",2775.9,2,"boandme,ronitagarwal1,shauryasahdev2"
173,16894950,csly666,"2026-09-17 17:30:10",2775.8,2,csly666
174,16802322,HongchenDai,"2026-09-18 06:26:41",2775.8,2,hongchendai
175,16716263,"Ugnė Miklovaitė","2026-09-17 07:04:58",2775.6,2,ugnmiklovait
176,16639871,"Aura Farming","2026-09-17 06:29:07",2775.5,2,gauthieravite
177,16789990,SA,"2026-09-18 00:50:59",2775.2,2,soheiarisaka
178,16633790,curiosity,"2026-09-18 07:38:44",2774.4,2,chmffwn1
179,16637031,"and more","2026-09-18 02:05:55",2774.1,2,kym2022
180,16630729,"american gothic","2026-09-17 13:38:29",2774.1,2,grennwolf
181,16701768,darasty,"2026-09-18 00:01:36",2773.5,2,darasty
182,16808111,"Oliver #2","2026-09-18 05:18:10",2773.2,2,wangzn0410
183,16865424,lost,"2026-09-18 09:20:03",2772.7,2,fluorescencexe
184,16806328,"Takamichi Toda","2026-09-18 08:35:59",2772.4,2,takamichitoda
185,16730065,Blu3s,"2026-09-17 21:57:52",2772.0,2,"atteincueo,ausrine"
186,16642036,enddl22,"2026-09-18 04:03:45",2771.7,2,enddl22
187,16750416,QQ农场,"2026-09-18 07:52:25",2771.4,2,gvione
188,16761693,nhatvo,"2026-09-18 02:25:01",2770.0,2,nhatvo
189,16701051,"Komi ShouKo","2026-09-18 02:32:51",2769.8,2,asdwswdxd
190,16665237,"Ad Space Available","2026-09-17 06:33:47",2769.7,2,"rainchen0411,richardsilence,tongyuexiao"
191,16892357,easygame,"2026-09-18 03:06:40",2769.1,2,"kangqinyao,xinjunc"
192,16898271,TheEvilpiggie,"2026-09-17 00:52:51",2769.0,2,theevilpiggie
193,16751603,xxxzzz123312123321,"2026-09-18 02:31:01",2768.7,2,xxxzzz123312123321
194,16766128,"Oleksandr Parfionov","2026-09-18 07:55:37",2768.4,2,parfyon
195,16859963,林溪,"2026-09-18 06:02:14",2767.3,2,linxii012
196,16811307,elmo,"2026-09-14 15:55:03",2767.3,2,mktakizawa
197,16765884,洛希边际,"2026-09-18 02:59:19",2767.0,2,bxz2003
198,16634704,"Maham Haroon","2026-09-18 00:47:59",2766.9,2,mahamhc
199,16897519,SShota-box,"2026-09-18 05:12:20",2766.2,2,sshotabox
200,16653385,"Vasilii Buzmakov","2026-09-17 21:04:10",2766.2,2,vasiliibuzmakov
201,16632783,chocolat,"2026-09-18 06:14:08",2765.5,2,chocolatnya999
202,16918063,"Dante Lok","2026-09-18 04:31:24",2765.0,2,dantelok
203,16665809,"Saravanan Jaichandaran","2026-09-17 01:35:57",2765.0,2,saranchandar
204,16681369,GanadorPlusUltra,"2026-09-18 00:51:59",2764.7,2,ganadorplusultra
205,16778707,momohuhu_kkkkkarrot,"2026-09-18 00:40:45",2763.8,2,kjy666
206,16777767,"Miyanogawa Yuya","2026-09-18 01:38:53",2763.2,2,veritalogos
207,16682753,"Cam-Luan Truong","2026-09-18 03:44:43",2763.1,2,luantruong
208,16768104,"Ivan Aleksandrov","2026-09-18 11:03:56",2763.0,2,ivanblch
209,16811799,"Yuanchen Huang","2026-09-17 21:00:04",2762.9,2,geokocha
210,16811868,luyinn,"2026-09-18 05:29:39",2762.4,2,luyinn
211,16658946,theredbluepill,"2026-09-18 04:47:57",2760.8,2,poonszesen
212,16687649,track,"2026-09-17 22:09:59",2760.5,2,"ahmedberatozer,omerlleez"
213,16626191,"kevin park","2026-09-18 03:49:30",2760.1,2,k3v1npark
214,16889691,"Yango Mango","2026-09-18 00:45:28",2759.1,2,yangbai2026
215,16682494,Phi,"2026-09-17 03:41:32",2758.9,2,ajinomoto132
216,16778012,俺是耕田哩,"2026-09-18 05:09:10",2758.3,2,tianzhenggao
217,16739018,"Zhou Songyu","2026-09-18 05:52:48",2758.2,2,zhousongyu
218,16625060,"Subin An","2026-09-17 23:42:20",2757.8,2,subinium
219,16632097,PavelLiashkov,"2026-09-18 00:51:04",2757.1,2,bigbag1983
220,16841663,"Ryosei Hara","2026-09-18 02:12:42",2755.7,2,ryhara
221,16849814,"Mr. Architect","2026-09-17 15:47:46",2755.3,2,vietnguyen130593
222,16750779,"Mao Nishino (mao1756)","2026-09-17 21:14:28",2755.1,2,maonishinomao1756
223,16633944,Toru59er,"2026-09-18 04:29:47",2754.8,2,toru59er
224,16877834,playboicarti,"2026-09-17 21:53:53",2754.5,2,playb0icarti
225,16740815,Remielle,"2026-09-18 02:50:06",2753.4,2,remielle
226,16774701,@Suzumaru_1666,"2026-09-18 09:03:46",2752.5,2,suzumaru1666
227,16716566,"Junliang Ye","2026-09-18 08:39:41",2752.4,2,junliangye
228,16651244,"Knight of Favonius","2026-09-18 08:35:43",2751.6,2,ladyfaye
229,16741965,Ryuichi,"2026-09-16 08:50:49",2751.4,2,ryuichigt
230,16664487,houlidai-jiekiulai,"2026-09-18 06:05:04",2751.1,2,houlidaijiekiulai
231,16845367,kyy666,"2026-09-18 10:49:41",2750.9,2,"kyy666,robertmcwang"
232,16853805,yefenfei,"2026-09-18 06:08:46",2750.3,2,yefenfei
233,16654783,quantara.cv,"2026-09-17 06:05:54",2750.2,2,goth55
234,16751358,Cristiano,"2026-09-18 03:24:20",2750.0,2,zhuangbility
235,16905685,小娃娃之力,"2026-09-18 03:54:00",2749.5,2,xiewenwei29
236,16733789,fylgde,"2026-09-17 19:38:02",2749.4,2,fylgde
237,16806219,"Yiwei Pu","2026-09-18 04:11:50",2749.0,2,"lvyihan1210,raven20010261,yiweipu"
238,16898090,"Zbigniew Kirchner","2026-09-18 06:19:41",2748.9,2,zbigniewkirchner
239,16746010,"Khoi Tuan Nguyen","2026-09-18 04:35:44",2748.0,2,khoingt
240,16740405,by,"2026-09-18 07:59:45",2747.8,2,ibyyue
241,16876180,kk.sky.9k,"2026-09-18 04:10:23",2747.5,2,kksky9k
242,16693557,"Ifeoluwa Adewumi","2026-09-18 05:06:32",2747.4,2,ifeadewumi
243,16647324,GG-bond,"2026-09-18 01:59:06",2747.0,2,wyhwyh123
244,16731966,ねねね,"2026-09-18 02:07:08",2747.0,2,napier1550
245,16657877,zigiella,"2026-09-18 10:23:48",2746.9,2,zigiella
246,16848063,"Yuan Weijun","2026-09-18 01:13:47",2746.7,2,yuanweijun
247,16730223,Ojaswy,"2026-09-18 08:02:07",2746.1,2,ojaswy
248,16709809,RiyaSoni20,"2026-09-17 19:44:20",2746.0,2,"riyasoni20,rudraamin06"
249,16688732,tully_boss,"2026-09-16 00:18:19",2745.9,2,"gnux1408,tanakaai24"
250,16887437,EthanL67,"2026-09-18 06:56:54",2745.8,2,ethanl67
251,16743427,Under遊具,"2026-09-18 06:00:32",2745.5,2,andayougui
252,16833141,yomogii,"2026-09-18 10:59:01",2745.3,2,yomogii
253,16772808,lucataco,"2026-09-18 07:12:54",2745.3,2,lucataco
254,16627796,tizawa3,"2026-09-18 10:59:52",2745.3,2,tizawa
255,16865317,"sunil kumar","2026-09-18 03:59:55",2744.8,2,sunil123kumar
256,16765135,neuro168,"2026-09-18 05:53:52",2744.8,2,lordmc
257,16746275,LittleScottyy,"2026-09-18 06:14:33",2744.6,2,fongwaiyong
258,16672251,"Kavinkumar M","2026-09-18 04:40:02",2744.2,2,kavinkumarrkm
259,16742684,Inzilbêth,"2026-09-18 05:27:25",2743.8,2,inzilbth
260,16852141,"Zhou Hengyu","2026-09-18 03:22:33",2743.4,2,zhouhengyuu
261,16682885,风沙星辰,"2026-09-18 03:45:31",2743.3,2,"duoliya,linyeping,sereinovov,wangying2026"
262,16725856,"Abhi Datta","2026-09-18 04:04:08",2743.0,2,abhidatta87
263,16743836,"Auto Fermers","2026-09-17 09:40:43",2742.1,2,"artemboltaev,dmitriigluzdov"
264,16809332,"ansheng jhang","2026-09-18 05:27:49",2741.0,2,anshengjhang
265,16726915,"인공저능연구소( Artificial Idiocy Lab )","2026-09-18 10:13:13",2740.7,2,megayak
266,16640388,SANNNNN,"2026-09-18 08:08:31",2740.6,2,zuhairsan
267,16658457,"Uchiha Eren","2026-09-18 09:35:02",2740.2,2,lucsanjay
268,16706395,"Kunal Desale","2026-09-18 04:08:03",2740.0,2,kunaldesale2408
269,16781166,Ant,"2026-09-17 22:46:24",2739.9,2,anthonytrevino
270,16738492,"Follow Me Gradient","2026-09-18 07:27:16",2739.6,2,farukece
271,16794753,"Yan #2","2026-09-18 07:17:45",2738.7,2,diskya
272,16631460,Kosuke.T,"2026-09-17 19:50:27",2737.8,2,kosuke1992
273,16624919,"Juste Me (●'◡'●)","2026-09-18 05:27:30",2737.4,2,degnonguidi
274,16896998,YehHua001,"2026-09-18 05:33:02",2735.8,2,yehhua001
275,16660215,"YoungDSML [dsml.kz]","2026-09-18 06:54:08",2735.7,2,"mazgas,nurikw3"
276,16732530,可抽奖的冰棒,"2026-09-17 23:27:24",2735.6,2,daniel1547
277,16709126,"Jamie Nojek","2026-09-18 05:31:17",2735.2,2,jamienojek
278,16730946,"Bohann Wang","2026-09-18 03:49:44",2734.9,2,bohannnwang
279,16732445,"Николай Леухин","2026-09-17 21:13:37",2734.7,2,kolyaflexcu
280,16712560,"Max vrstpan1","2026-09-18 05:59:05",2734.6,2,wdjy123456
281,16638551,WinRAR,"2026-09-18 07:53:11",2734.1,2,ryosketchbook2007
282,16707467,kay.liechtenstein,"2026-09-18 00:02:27",2734.0,2,kayliechtenstein
283,16666434,"JOSHNA ACSHA S 21CS","2026-09-18 07:22:57",2733.8,2,joshnaacshas21cs
284,16758381,"Yang Kuang Ou","2026-09-18 00:52:05",2733.5,2,yangkuangou
285,16903852,maoxin123,"2026-09-18 02:39:01",2733.3,2,maoxin123
286,16728071,AI是我的豆包,"2026-09-18 02:30:22",2732.8,2,"blht2026,wocenmma"
287,16763761,mkai1981,"2026-09-18 09:23:49",2732.5,2,mkai1981
288,16711752,"Atakan Aldemir","2026-09-18 10:37:29",2731.4,2,atakanaldemir
289,16839580,"Søren Ravn Andersen","2026-09-16 13:57:31",2731.2,2,sorenravn
290,16655129,"Morylov Yehor","2026-09-18 07:23:17",2731.1,2,morylov
291,16769990,delai50,"2026-09-18 07:12:00",2731.1,2,delai50
292,16633173,"Saulo Quiñones Góngora","2026-09-18 03:26:08",2731.1,2,sauloquionesgngora
293,16811224,yuya,"2026-09-18 04:57:30",2730.5,2,yuomori
294,16865168,"Maksym Bilychenko","2026-09-17 19:19:10",2730.2,2,mbilichenko
295,16657941,"Nick Styles","2026-09-18 05:52:00",2730.0,2,styles
296,16691038,"animal crossing","2026-09-17 23:46:28",2729.7,2,hoonchoonc
297,16748382,shiiin9,"2026-09-18 06:26:41",2729.6,2,shiiin9
298,16818060,bnfan,"2026-09-18 04:40:12",2729.4,2,simonfan7
299,16802867,matcha110,"2026-09-18 08:32:42",2729.4,2,matcha110
300,16663271,"Malyshev Danil","2026-09-18 07:36:37",2729.1,2,malyshevdanil
301,16892288,"Omar Althobaiti","2026-09-17 05:45:42",2728.2,2,omarahmedalthbite
302,16727110,yemaoye,"2026-09-18 07:57:52",2727.5,2,yemaoye
303,16655478,Bruce,"2026-09-18 09:36:59",2727.2,2,bruceqdu
304,16630804,"Emre Cirak","2026-09-18 08:18:27",2727.1,2,"biohack44,merkiraz"
305,16635108,"cabbage corp","2026-09-18 05:05:45",2727.0,2,"kagglercs,phoenix0501"
306,16862666,"Roman Katasonov","2026-09-17 13:32:55",2727.0,2,romankatasonov
307,16733851,tangaii,"2026-09-18 08:42:32",2726.2,2,tangai1
308,16697229,"Masashi Nishimoto","2026-09-17 21:34:35",2725.7,2,masashinishimoto
309,16637597,venks,"2026-09-18 01:03:38",2725.0,2,vterli
310,16851474,"HY ISHI","2026-09-18 05:38:31",2724.8,2,hyugaishioka
311,16860293,kobq,"2026-09-17 17:26:49",2724.2,2,kooobq
312,16851399,"Ali Eren Konak","2026-09-17 19:10:54",2723.4,2,alierenkonak
313,16623990,senkin13,"2026-09-17 07:12:15",2723.3,2,senkin13
314,16846856,BladeRunner,"2026-09-18 09:17:31",2723.1,2,bladerunner2022
315,16838914,kikikukikii,"2026-09-18 04:33:53",2723.1,2,kikikukikii
316,16634716,Eusebius,"2026-09-18 06:53:47",2723.1,2,protuberanzen2000
317,16698136,"David Estevez","2026-09-17 22:34:55",2722.4,2,destbreso
318,16743639,Hanserong,"2026-09-18 06:20:56",2719.6,2,"ronghedragon,rufus666"
319,16885261,sdy623,"2026-09-17 10:17:37",2719.3,2,jaxa623
320,16759402,Capitaalgain,"2026-09-18 07:49:07",2718.5,2,capitaalgain
321,16680172,TTANE,"2026-09-18 08:03:42",2716.0,2,otmaneelmahdaouy
322,16687294,"Madiyar Khamzanov","2026-09-17 16:10:03",2715.9,2,mkhamzanov
323,16896774,EPHEMORIA,"2026-09-18 05:29:54",2714.0,2,ephemoria
324,16667880,DOPEなNOUFU耕すHOPE👨‍🌾,"2026-09-18 07:14:12",2714.0,2,"shin9915,syamoji141chan"
325,16664640,kaggricodex,"2026-09-16 07:04:07",2713.8,2,underestimated
